Id,Surface Area: Surface Area,Volume: Volume
8.65E+02,2.15E-14,1.28E-22
8.66E+02,7.59E-14,7.68E-22
8.67E+02,1.33E-13,2.18E-21
8.68E+02,2.15E-14,1.28E-22
8.69E+02,1.77E-13,3.07E-21
8.70E+02,2.15E-14,1.28E-22
8.71E+02,1.44E-13,2.43E-21
8.72E+02,2.15E-14,1.28E-22
8.73E+02,1.81E-13,3.84E-21
8.74E+02,1.82E-13,3.97E-21
8.75E+02,1.32E-13,2.05E-21
8.76E+02,1.76E-13,2.82E-21
8.77E+02,3.74E-13,1.05E-20
8.78E+02,3.32E-13,9.47E-21
8.79E+02,4.17E-14,2.56E-22
8.80E+02,4.17E-14,2.56E-22
8.81E+02,2.15E-14,1.28E-22
8.82E+02,1.32E-13,2.05E-21
8.83E+02,9.12E-14,1.15E-21
8.84E+02,8.60E-14,7.68E-22
8.85E+02,2.90E-13,6.15E-21
8.86E+02,1.72E-13,2.30E-21
8.87E+02,2.15E-14,1.28E-22
8.88E+02,3.34E-13,8.07E-21
8.89E+02,1.62E-13,2.05E-21
8.90E+02,2.67E-13,5.12E-21
8.91E+02,3.94E-13,1.05E-20
8.92E+02,4.67E-13,1.46E-20
8.93E+02,5.17E-13,1.82E-20
8.94E+02,2.15E-14,1.28E-22
8.95E+02,3.60E-13,9.09E-21
8.96E+02,3.18E-13,7.55E-21
8.97E+02,3.57E-13,8.71E-21
8.98E+02,2.15E-14,1.28E-22
8.99E+02,4.32E-13,1.13E-20
9.00E+02,2.15E-14,1.28E-22
9.01E+02,9.74E-14,8.96E-22
9.02E+02,2.15E-14,1.28E-22
9.03E+02,3.22E-13,6.91E-21
9.04E+02,2.15E-14,1.28E-22
9.05E+02,5.08E-13,1.72E-20
9.06E+02,3.65E-13,9.73E-21
9.07E+02,9.74E-14,1.15E-21
9.08E+02,8.73E-14,8.96E-22
9.09E+02,1.19E-13,1.28E-21
9.10E+02,2.15E-14,1.28E-22
9.11E+02,5.31E-14,3.84E-22
9.12E+02,4.17E-14,2.56E-22
9.13E+02,3.37E-13,8.45E-21
9.14E+02,2.13E-13,3.71E-21
9.15E+02,2.15E-14,1.28E-22
9.16E+02,1.65E-13,2.18E-21
9.17E+02,9.74E-14,8.96E-22
9.18E+02,2.15E-14,1.28E-22
9.19E+02,1.20E-13,1.28E-21
9.20E+02,2.56E-13,4.87E-21
9.21E+02,5.31E-14,3.84E-22
9.22E+02,3.49E-13,9.09E-21
9.23E+02,1.32E-13,1.54E-21
9.24E+02,8.73E-14,8.96E-22
9.25E+02,3.24E-13,8.32E-21
9.26E+02,3.48E-13,9.35E-21
9.27E+02,2.13E-13,3.46E-21
9.28E+02,1.78E-13,3.33E-21
9.29E+02,2.15E-14,1.28E-22
9.30E+02,2.89E-13,6.15E-21
9.31E+02,2.15E-14,1.28E-22
9.32E+02,1.30E-13,1.79E-21
9.33E+02,4.32E-13,1.28E-20
9.34E+02,4.36E-13,1.29E-20
9.35E+02,4.86E-13,1.59E-20
9.36E+02,4.17E-14,2.56E-22
9.37E+02,3.03E-13,6.91E-21
9.38E+02,1.13E-13,1.54E-21
9.39E+02,6.45E-14,5.12E-22
9.40E+02,8.60E-14,1.02E-21
9.41E+02,1.96E-13,3.20E-21
9.42E+02,4.17E-14,2.56E-22
9.43E+02,4.31E-13,1.20E-20
9.44E+02,6.58E-14,6.40E-22
9.45E+02,1.22E-13,1.66E-21
9.46E+02,5.21E-13,1.82E-20
9.47E+02,1.78E-13,3.07E-21
9.48E+02,3.47E-13,8.83E-21
9.49E+02,3.29E-13,8.58E-21
9.50E+02,8.48E-14,7.68E-22
9.51E+02,1.08E-13,1.28E-21
9.52E+02,3.10E-13,9.47E-21
9.53E+02,1.08E-13,1.28E-21
9.54E+02,3.76E-13,1.06E-20
9.55E+02,4.17E-14,2.56E-22
9.56E+02,4.17E-14,2.56E-22
9.57E+02,2.18E-13,3.46E-21
9.58E+02,2.19E-13,3.84E-21
9.59E+02,1.13E-13,1.54E-21
9.60E+02,1.63E-13,2.43E-21
9.61E+02,1.66E-13,2.43E-21
9.62E+02,1.42E-13,1.79E-21
9.63E+02,2.15E-14,1.28E-22
9.64E+02,1.53E-13,2.05E-21
9.65E+02,6.58E-14,6.40E-22
9.66E+02,4.33E-13,1.36E-20
9.67E+02,3.08E-13,7.43E-21
9.68E+02,2.15E-14,1.28E-22
9.69E+02,1.08E-13,1.28E-21
9.70E+02,4.17E-14,2.56E-22
9.71E+02,2.46E-13,4.48E-21
9.72E+02,2.11E-13,3.58E-21
9.73E+02,3.67E-13,9.09E-21
9.74E+02,1.32E-13,1.92E-21
9.75E+02,2.15E-14,1.28E-22
9.76E+02,1.54E-13,2.56E-21
9.77E+02,8.48E-14,7.68E-22
9.78E+02,2.15E-14,1.28E-22
9.79E+02,1.72E-13,2.43E-21
9.80E+02,9.74E-14,8.96E-22
9.81E+02,2.22E-13,4.10E-21
9.82E+02,7.59E-14,6.40E-22
9.83E+02,2.01E-13,3.84E-21
9.84E+02,2.15E-14,1.28E-22
9.85E+02,1.32E-13,1.54E-21
9.86E+02,6.45E-14,5.12E-22
9.87E+02,4.79E-13,1.37E-20
9.88E+02,2.16E-13,3.20E-21
9.89E+02,7.34E-14,5.12E-22
9.90E+02,1.83E-13,2.43E-21
9.91E+02,8.48E-14,6.40E-22
9.92E+02,1.22E-13,1.41E-21
9.93E+02,1.54E-13,1.92E-21
9.94E+02,2.40E-13,4.61E-21
9.95E+02,2.15E-14,1.28E-22
9.96E+02,2.67E-13,5.76E-21
9.97E+02,2.15E-14,1.28E-22
9.98E+02,3.82E-13,1.02E-20
9.99E+02,2.15E-14,1.28E-22
1.00E+03,2.15E-14,1.28E-22
1.00E+03,3.85E-13,1.01E-20
1.00E+03,1.51E-13,1.79E-21
1.00E+03,2.15E-14,1.28E-22
1.00E+03,1.19E-13,1.15E-21
1.01E+03,2.66E-13,5.63E-21
1.01E+03,1.43E-13,1.92E-21
1.01E+03,2.15E-14,1.28E-22
1.01E+03,1.29E-13,1.41E-21
1.01E+03,5.31E-14,3.84E-22
1.01E+03,1.96E-13,3.07E-21
1.01E+03,2.15E-14,1.28E-22
1.01E+03,5.34E-13,1.42E-20
1.01E+03,8.60E-14,7.68E-22
1.01E+03,1.38E-13,1.41E-21
1.02E+03,1.29E-13,1.15E-21
1.02E+03,1.86E-13,2.69E-21
1.02E+03,3.70E-13,9.73E-21
1.02E+03,1.32E-13,1.54E-21
1.02E+03,2.43E-13,4.48E-21
1.02E+03,3.90E-13,9.47E-21
1.02E+03,8.60E-14,7.68E-22
1.02E+03,2.15E-14,1.28E-22
1.02E+03,4.17E-14,2.56E-22
1.02E+03,2.15E-14,1.28E-22
1.03E+03,1.11E-13,1.28E-21
1.03E+03,8.60E-14,1.02E-21
1.03E+03,2.82E-13,7.94E-21
1.03E+03,2.30E-13,4.23E-21
1.03E+03,2.28E-13,5.12E-21
1.03E+03,7.46E-14,6.40E-22
1.03E+03,2.15E-14,1.28E-22
1.03E+03,8.48E-14,6.40E-22
1.03E+03,1.94E-13,2.56E-21
1.03E+03,8.48E-14,6.40E-22
1.04E+03,1.78E-13,3.07E-21
1.04E+03,1.22E-13,1.41E-21
1.04E+03,4.17E-14,2.56E-22
1.04E+03,4.06E-13,1.20E-20
1.04E+03,2.39E-13,3.71E-21
1.04E+03,3.14E-13,7.55E-21
1.04E+03,2.97E-13,6.79E-21
1.04E+03,2.01E-13,3.84E-21
1.04E+03,2.51E-13,4.87E-21
1.04E+03,8.60E-14,7.68E-22
1.05E+03,4.17E-14,2.56E-22
1.05E+03,6.20E-14,3.84E-22
1.05E+03,2.13E-13,4.35E-21
1.05E+03,9.74E-14,8.96E-22
1.05E+03,3.00E-13,6.53E-21
1.05E+03,1.76E-13,2.56E-21
1.05E+03,1.46E-13,2.56E-21
