Id,Surface Area: Surface Area,Volume: Volume
1.00E+00,7.09E-14,1.02E-21
2.00E+00,4.43E-14,3.84E-22
3.00E+00,6.45E-14,5.12E-22
4.00E+00,2.15E-14,1.28E-22
5.00E+00,2.32E-13,5.89E-21
6.00E+00,2.77E-13,6.91E-21
7.00E+00,2.15E-14,1.28E-22
8.00E+00,3.09E-13,8.96E-21
9.00E+00,1.09E-13,1.41E-21
1.00E+01,3.61E-13,1.13E-20
1.10E+01,1.35E-13,1.92E-21
1.20E+01,2.15E-14,1.28E-22
1.30E+01,3.27E-13,1.01E-20
1.40E+01,4.17E-14,2.56E-22
1.50E+01,1.11E-13,1.41E-21
1.60E+01,2.30E-13,5.63E-21
1.70E+01,2.84E-13,7.81E-21
1.80E+01,2.03E-13,3.97E-21
1.90E+01,2.81E-13,7.68E-21
2.00E+01,1.80E-13,3.58E-21
2.10E+01,4.17E-14,2.56E-22
2.20E+01,2.15E-14,1.28E-22
2.30E+01,2.15E-14,1.28E-22
2.40E+01,2.80E-13,7.17E-21
2.50E+01,2.84E-13,8.19E-21
2.60E+01,4.17E-14,2.56E-22
2.70E+01,2.03E-13,4.10E-21
2.80E+01,8.73E-14,8.96E-22
2.90E+01,1.35E-13,1.79E-21
3.00E+01,1.44E-13,2.30E-21
3.10E+01,4.75E-13,1.66E-20
3.20E+01,4.85E-13,1.59E-20
3.30E+01,2.37E-13,5.89E-21
3.40E+01,4.17E-14,2.56E-22
3.50E+01,6.63E-13,1.64E-20
3.60E+01,5.78E-13,2.15E-20
3.70E+01,3.69E-13,1.31E-20
3.80E+01,4.17E-14,2.56E-22
3.90E+01,2.04E-13,4.35E-21
4.00E+01,5.85E-13,2.18E-20
4.10E+01,2.51E-13,5.63E-21
4.20E+01,3.55E-13,9.09E-21
4.30E+01,5.38E-13,1.96E-20
4.40E+01,4.23E-13,1.55E-20
4.50E+01,2.96E-13,6.66E-21
4.60E+01,2.96E-13,6.79E-21
4.70E+01,1.16E-13,1.15E-21
4.80E+01,4.10E-13,1.20E-20
4.90E+01,4.17E-14,2.56E-22
5.00E+01,3.67E-13,1.02E-20
5.10E+01,2.77E-13,6.91E-21
